TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
27431,126379,4.607159782727571
12595,70494,5.596982929734021
7911,50849,6.427632410567564
21885,114836,5.2472469728124285
182716,1089859,5.964770463451477
19840,139853,7.049042338709677
202891,837076,4.125742393699079
694373,4299672,6.192164729907413
94531,615350,6.50950481852514
15311,87744,5.73078179086931
54782,336476,6.142090467671863
48494,250791,5.1715882377201305
1923725,11765145,6.115814370557122
14864,89022,5.9891011840688915
12822,77893,6.0749493058805175
520929,3831919,7.355933342163711
18915,127622,6.7471319058947925
50320,282912,5.622257551669317
13993,97574,6.973057957550203
550019,3127841,5.686787183715472
28707,135758,4.729090465740064
116858,880595,7.535598760889284
709306,5074071,7.153571237237525
89518,411642,4.598427131973458
34100,185129,5.429002932551319
17103,71826,4.199614102788984
77803,460701,5.921378353019806
50345,251339,4.99233290296951
360887,2662851,7.378628213263432
11310,61683,5.453846153846154
103749,604052,5.82224406982236
7271,37760,5.193233392930821
305443,2087534,6.8344470163009134
8142,48142,5.9127978383689515
24637,141108,5.727483053943256
214292,1396118,6.5150262258973735
25704,132829,5.167639277933396
23169,111654,4.819111744140878
43718,279763,6.399263461274532
6919,46114,6.664835958953606
92847,918615,9.893857636757247
17282,208670,12.074412683717162
807471,7829751,9.696634306371374
119463,1146062,9.59344734352896
50436,284384,5.63851217384408
69609,730113,10.488773003490929
58973,586194,9.940040357451716
1193461,7749215,6.493060937894074
70311,528368,7.514727425296184
78848,367808,4.6647727272727275
69685,646363,9.275496878811795
118366,1130519,9.551045063616241
43788,197249,4.5046359733260255
17768,173251,9.750731652408826
11897,127056,10.679667142977221
40315,338868,8.405506635247427
241567,1800019,7.451427554260309
26836,288919,10.766097779102697
303180,1500199,4.948212283132133
878255,6700543,7.62938212705877
119479,981864,8.217879292595352
18912,186813,9.878013959390863
84830,689230,8.12483791111635
72141,466952,6.472768605924509
2096587,15041412,7.174236986111237
21560,207931,9.644294990723562
16067,170614,10.61890832140412
572564,4894801,8.548915055784157
34844,342001,9.815204913327976
63386,560734,8.846338308143753
20532,228392,11.12370933177479
493269,4001504,8.11221463339476
45861,255423,5.5695034997056325
154307,1620375,10.500981808991167
784453,6845035,8.725870128611911
99553,721704,7.249445019235985
89979,703018,7.81313417575212
29708,153079,5.1527871280463176
149389,1252430,8.383682868216535
92330,608169,6.586905664464421
385316,3414436,8.8613916888995
13988,132142,9.446811552759508
118169,888461,7.51856239792162
9473,90067,9.507758893697877
391691,3249309,8.29559269934719
11167,117623,10.533088564520462
32044,296214,9.243977031581576
255406,2402312,9.405855774727296
35570,269930,7.588698341298847
53665,371611,6.924643622472748
50823,517754,10.18739547055467
11710,127423,10.881554227156277
69745,578842,8.299404975267045
13224,119875,9.064957652752572
611804,4921528,8.04428869376467
88741,750633,8.45869440281268
26104,167660,6.422770456634998
44395,406874,9.164860907759882
33892,269974,7.965714622919863
1064276,5903024,5.546516129274737
60145,372378,6.191337600798072
35395,216154,6.106907755332674
41376,330006,7.975783062645012
59719,503428,8.429946918066276
26692,140392,5.259703281882212
12749,106731,8.371715428661071
9202,73900,8.03086285590089
20087,152749,7.604370986209987
192629,1327004,6.888910807822291
23375,185942,7.954737967914438
143284,841222,5.871011417883365
475421,2981239,6.270734780331538
96643,693771,7.17869892283973
18652,126479,6.780988633926657
58123,432650,7.443696987423223
37854,218053,5.760368785333122
1772558,11343436,6.399472400903101
13544,115372,8.518310691080922
15686,117221,7.472969526966722
508114,3997722,7.867765895055046
19010,186066,9.78779589689637
52342,348354,6.655343701043139
16023,151213,9.437246458216315
568276,3487133,6.13633692079201
30938,163146,5.273320835218825
112136,988742,8.817346793179711
640774,4655805,7.2659081048856535
71300,440127,6.17288920056101
37923,315127,8.309653772117185
12833,80384,6.26385100911712
90385,651879,7.212247607456989
46209,300836,6.5103334848189744
353422,2788062,7.888761876736592
12935,86260,6.668728256667955
123331,782544,6.345071393242575
7513,53832,7.165180354052975
229985,1715989,7.461308346196491
10016,73703,7.358526357827476
28183,202868,7.1982400738033565
199277,1425524,7.153479829583946
21912,159683,7.287468054034319
23556,174308,7.399728307013075
44273,344086,7.771915162740271
7934,67606,8.521048651373833
35546,398942,11.223260001125302
12951,166417,12.84974133271562
273151,2711306,9.926033585818832
48849,589071,12.059018608364552
22881,195820,8.558192386696385
28048,342547,12.212885054192812
36979,452457,12.235512047378242
716869,4635377,6.466142349578514
38425,357952,9.315601821730644
27857,207368,7.444017661629034
20617,229188,11.116457292525586
40864,431354,10.555843774471418
25295,221099,8.740818343546156
11997,148172,12.35075435525548
8021,100841,12.572123176661265
19362,202228,10.4445821712633
114752,941683,8.206244771332962
21643,247617,11.440973986970382
96179,746000,7.756370933363832
187987,1432120,7.618186363950699
72900,613047,8.409423868312757
15126,154606,10.221208515139494
32714,325430,9.947728801124901
18634,147275,7.903563378769991
155276,1281023,8.249974239418842
15629,229692,14.696525689423508
11066,128253,11.58982468823423
595533,4812841,8.08156894748066
13407,162400,12.113075259192959
46313,400683,8.651631291430052
7873,104958,13.33138574876159
534175,4311291,8.07093368278186
26347,247524,9.394769803013626
79244,975326,12.30788450860633
297384,2572091,8.649056438813117
47495,437521,9.211938098747236
27951,284460,10.177095631641086
10962,88143,8.040777230432402
52509,544304,10.36591822354263
35618,296681,8.329524397776405
437527,3759027,8.591531494056367
8651,87310,10.092474858397873
106638,840594,7.882687222190964
6754,55897,8.276132662126148
60331,542591,8.993568812053505
7502,74977,9.99426819514796
23780,257962,10.847855340622372
153702,1451785,9.445452889357329
20698,210879,10.188375688472316
17696,166305,9.397886528028932
43293,433302,10.008592613124524
4818,52769,10.9524699045247
20863,330242,15.829075396635192
9727,153188,15.748740618895857
125368,1663497,13.268912322123668
33951,483121,14.229949044210775
21240,228977,10.780461393596987
19628,295269,15.0432545343387
31174,460297,14.765413485596971
224027,2721736,12.149142737259348
23709,309352,13.047872116074064
25767,234137,9.086700042690262
15453,198490,12.844755063741669
27379,325738,11.897366594835457
7746,77319,9.981797056545314
8678,130220,15.005761696243374
7291,105623,14.48676450418324
15405,192319,12.484193443687115
72691,738742,10.162771182127086
11770,193761,16.46227697536109
85176,891157,10.462536395228703
147915,1387574,9.380887671973769
28159,381688,13.554742711033773
12276,154147,12.556777451938743
23860,287887,12.065674769488684
17499,161298,9.21755528887365
109500,1250025,11.415753424657535
10356,169763,16.392719196601004
8588,116131,13.522473218444341
65119,693272,10.64623228243677
9992,158875,15.900220176140913
32585,389188,11.94377781187663
7172,121109,16.886363636363637
164518,2509995,15.256658845840576
8204,100741,12.279497805948317
48651,760348,15.62862017224723
103772,1285863,12.391232702463093
